concave points_worst,perimeter_worst,texture_worst,concavity_worst,symmetry_worst
0.2013,128.5,41.85,0.4646,0.4432
0.1015,96.05,24.64,0.2671,0.3014
0.1252,117.7,20.24,0.3327,0.3415
0.05588,67.08,23.22,0.06213,0.2989
0.1096,130,25.05,0.1932,0.3275
0.1126,99.48,29.16,0.3162,0.4128
0.1035,113.7,15.92,0.2962,0.232
0.192,158.3,27.84,0.3861,0.2909
0.06913,85.22,24.99,0.1471,0.2535
0.1595,188.5,18.47,0.3201,0.1648
0.1099,120.4,28.07,0.2803,0.1603
0.1772,115,34.85,0.3744,0.4724
0.1654,104.4,26.93,0.4636,0.363
0.1138,86.2,27.1,0.2806,0.3397
0.03571,75.4,24.47,0.1925,0.2868
0.182,170.3,28.64,0.3617,0.307
0.1625,180.2,45.41,0.3995,0.2713
0.08056,99.71,16.35,0.1759,0.238
0.0909,101.1,17.13,0.2577,0.3065
0.05575,71.94,22.84,0.06572,0.3055
0.1479,125.9,30.29,0.3976,0.3993
0.09678,98.84,23.6,0.1786,0.2506
0.1087,110.4,16.9,0.1632,0.30620000000000003
0.04464,73.47,19.8,0.02639,0.2615
0.1379,114.2,19.31,0.3402,0.2954
0.118,90.67,31.31,0.3911,0.2826
0.1977,105.3,30.15,0.6282,0.3407
0.2543,133.5,24.89,0.5018,0.3109
0.02083,79.82,33.75,0.1089,0.2849
0.03002,78.44,41.78,0.02318,0.2911
0.1563,162.7,37.38,0.4146,0.2437
0.07222,65.74,19.16,0.07161,0.2757
0.07963,98.27,30.28,0.06231,0.2226
0.2593,206,34.51,0.582,0.3103
0.1445,161.7,26.17,0.3158,0.2238
0.08219,102.5,40.54,0.3064,0.189
0.2066,141.2,44.87,0.3241,0.2853
0.09222,94.11,19.05,0.1533,0.253
0.04052,83.85,20.37,0.06243,0.2901
0.1218,87.16,27.96,0.7436,0.3308
0.06106,98,26.34,0.1359,0.2663
0.1564,144.9,30.53,0.3458,0.292
0.06736,73.68,29.46,0.1181,0.2883
0.0497,88.28,27.82,0.2298,0.2767
0.1561,105,17.7,0.7727,0.2639
0.06136,77.98,35.19,0.1125,0.3409
0.09608,80.88,21.19,0.1804,0.2664
0.2105,165.3,27,0.6991,0.3126
0.06544,83.12,22.46,0.08105,0.274
0.2507,159.8,25.59,0.8489,0.2749
0.1857,130.9,25.09,0.3378,0.3138
0.1999,163.1,24.57,0.4317,0.3379
0.1374,108.1,22.07,0.3209,0.3068
0.1941,178.6,36.27,0.4251,0.2818
0.2229,119.8,22.66,0.4429,0.3258
0.2462,143.7,31.64,0.6181,0.3277
0.2014,126.3,49.54,0.5703,0.3512
0.1697,162.3,39.16,0.3788,0.3151
0.08235,128.2,31.47,0.1211,0.2452
0.1528,137.9,27.24,0.2298,0.3067
0.08568,115.9,31.67,0.226,0.2683
0.1984,140.5,29.33,0.3889,0.3216
0.1659,214,47.16,0.3442,0.2868
0.07926,78.28,22.94,0.1916,0.294
0.06189,97.66,30.04,0.1453,0.2446
0.0578,89.27,23.64,0.1992,0.3604
0.086,76.51,25.21,0.2534,0.2605
0.03333,94.44,20.65,0.03866,0.2458
0.0875,78.27,16.18,0.1275,0.2733
0.1841,195.9,28.18,0.5807,0.2833
0.05159,68.09,20.88,0.04043,0.2841
0.1136,135.1,34.69,0.208,0.2504
0.08946,79.46,18.99,0.07153,0.222
0.01111,77.37,18.99,0.004955,0.2758
0.1294,129,24.3,0.221,0.2567
0.05185,98.91,26.1,0.106,0.2335
0.09993,98.37,21.74,0.1456,0.2955
0.1872,159.8,35.9,0.5754,0.3258
0.0829,84.7,18.26,0.06735,0.3101
0.2252,152.4,28.65,0.4316,0.359
0.1732,126.9,25.09,0.5026,0.277
0.1017,92.12,19.69,0.3344,0.1999
0.008772,85.56,23.08,0.005579,0.2505
0.1155,92.2,27.29,0.2365,0.2465
0.05366,87.4,15.54,0.1186,0.2309
0.09314,78.27,22.33,0.1546,0.2955
0.06203,79.29,26.14,0.07529,0.3267
0.1021,101.7,22.13,0.222,0.2272
0.1489,109.1,26.19,0.1804,0.2962
0.1056,88.81,19.93,0.2241,0.338
0.0914,84.35,25.75,0.1316,0.3101
0.06343,88.54,17.48,0.05233,0.2369
0.05802,94.17,16.93,0.03732,0.2823
0.03194,72.42,14.82,0.02884,0.2143
0.0716,85.1,23.39,0.0612,0.1978
0.0753,105.8,25.26,0.1565,0.2636
0.03125,70.1,24.22,0.04158,0.2227
0.198,171.1,26.24,0.6121,0.2968
0.07625,88.13,23.07,0.1904,0.2685
0.1923,158.8,29.43,0.4932,0.3294
0.06528,70.76,24.54,0.08423,0.2213
0.05509,82.69,21.61,0.1226,0.2208
0.04815,81.39,31.62,0.07239,0.3244
0.025,92,20.45,0.0112,0.2651
0.01389,60.9,20.07,0.01472,0.2991
0.0221,95.48,16.94,0.01379,0.2267
0.03532,93.96,17.4,0.01824,0.2107
0.05741,80.92,26.55,0.07915,0.3487
0.05813,103.7,21.75,0.04746,0.253
0.08411,92.04,16.4,0.1769,0.2564
0.04715,81.23,12.87,0.08324,0.339
0,56.65,22.44,0,0.3142
0.02784,84.48,19.71,0.01938,0.1917
0.01852,81.6,16.47,0.04116,0.2293
0.1776,140.9,25,0.3853,0.2812
0.1145,68.62,23.4,0.4609,0.3135
0.02832,81.76,20.21,0.02237,0.1901
0.09744,71.53,20.61,0.1898,0.2608
0.1425,150.2,23.03,0.2606,0.3055
0.1155,92.8,21.08,0.1791,0.2382
0.2685,171.1,31.86,0.5344,0.5558
0.05556,91.11,21.38,0.1167,0.2661
0.05602,88.7,21.1,0.102,0.2688
0.0589,98.4,18,0.05307,0.21
0.02796,82.74,22.25,0.007732,0.2171
0.1583,129.8,30.38,0.3597,0.3103
0.1047,113.7,25.21,0.3344,0.2736
0.1981,124.3,21.98,0.4956,0.3019
0.09858,99.21,21.95,0.3439,0.3596
0.02022,76.91,25.78,0.01335,0.3292
0.01667,82.08,22.06,0.005518,0.2815
0.03983,84.53,28.46,0.03619,0.2554
0.1827,143.2,33.15,0.392,0.2623
0.0585,87.38,16.91,0.145,0.2432
0.2048,161.1,34.37,0.4634,0.3679
0.06499,71.98,26.84,0.1055,0.2894
0.2089,202.4,30.73,0.4819,0.2593
0.1414,111.4,21.51,0.3755,0.3053
0.0812,71.25,23.07,0.4341,0.2982
0.1075,79.76,19.9,0.2299,0.3301
0.2255,157.6,34.66,0.4734,0.4045
0.07864,84.16,18.16,0.1087,0.2765
0.04074,70.89,19.48,0.07162,0.2434
0.05093,86.54,27.06,0.04506,0.288
0.1251,114.2,17.93,0.2151,0.3109
0.06548,79.67,20.79,0.09823,0.2851
0.04766,83.09,17.72,0.03122,0.3124
0.04262,83.61,19.74,0.03046,0.2731
0.2135,119.4,24.17,0.6872,0.4245
0.2756,229.3,23.58,0.6451,0.369
0.1526,121.2,33.22,0.4029,0.2654
0.03922,79.62,15.82,0.1201,0.2576
0.09265,89.02,22.43,0.2388,0.2121
0.1258,94.22,24.85,0.2573,0.3113
0.05556,96.74,25.58,0.05285,0.2362
0.04762,65.27,17.7,0.09441,0.2434
0.05052,75.79,25.02,0.1144,0.2454
0.01635,86.82,20.98,0.003581,0.2233
0.05614,92.94,29.2,0.1212,0.2637
0.08312,87.82,25.99,0.1255,0.2744
0.09123,117.2,25.45,0.1663,0.2394
0.06987,93.76,21.7,0.1364,0.2741
0.1765,161.2,26.37,0.2702,0.2609
0.2152,160,33.81,0.3703,0.3271
0.08829,93.85,24.04,0.2413,0.3218
0.182,199.5,26.44,0.2861,0.251
0.2432,195,25.8,0.4756,0.2741
0.2248,129.3,31.03,0.7087,0.4824
0.08178,104.5,15.73,0.1362,0.2487
0.1966,152.1,21.84,0.4024,0.273
0.2112,166.8,23.17,0.4159,0.2689
0.06987,99.16,20.21,0.1346,0.3323
0.1251,113.1,19.14,0.2114,0.3153
0.1465,76.51,22.82,0.603,0.2597
0.05781,97.11,35.63,0.07934,0.2694
0.1054,97.96,19.64,0.2569,0.3387
0.2524,91.76,32.82,0.8402,0.4154
0.1318,84.93,20.53,0.2247,0.3343
0.06754,79.73,20.83,0.1553,0.3202
0.1092,87.36,28.71,0.2912,0.2191
0.09804,95.23,23.13,0.3206,0.2819
0.09173,96.59,17.37,0.2866,0.2736
0.1359,102.2,31.71,0.2675,0.2477
0.0914,87.65,19.29,0.3076,0.2677
0.04537,99.66,19.97,0.1091,0.2542
0.08272,79.73,18.93,0.3021,0.2157
0.1825,142,30.44,0.3829,0.2576
0.06696,73.23,15.65,0.08615,0.2937
0,64.01,22.8,0,0.2445
0.2121,142.1,29.41,0.5553,0.3187
0.2422,172,28.74,0.7053,0.3828
0.06266,88.33,25.8,0.1603,0.3049
0.07911,96.42,25.34,0.0846,0.2523
0.1453,97.33,27.2,0.3438,0.2666
0.08296,90.72,21.06,0.1901,0.1988
0.05556,80.79,20.35,0.2079,0.259
0.05356,86,24.49,0.1449,0.2779
0.1964,149.6,27.78,0.9034,0.3245
0.06876,87.64,20.14,0.1514,0.246
0.06608,96.31,24.61,0.1604,0.3207
0.08388,89.69,23.02,0.181,0.3297
0.04793,84.11,16.85,0.04921,0.2298
0.07887,82.76,25.58,0.1412,0.2251
0.1129,115.9,19.58,0.231,0.2778
0.05601,91.63,27.01,0.1838,0.2488
0.1974,138.1,25.41,0.3301,0.306
0.09532,89,28.88,0.1377,0.3455
0.08698,85.07,36.32,0.1811,0.2973
0.07431,79.93,26.44,0.1067,0.2998
0.02564,66.61,27.99,0.1868,0.2376
0.1308,110.2,31.55,0.3114,0.3163
0.06575,110.1,36.91,0.1547,0.3233
0.08263,85.09,27.21,0.1164,0.3075
0.0377,68.73,31.24,0.06141,0.2872
0.2134,157.1,27.65,0.4211,0.3003
0.08224,88.12,16.92,0.09385,0.2775
0.04306,79.26,28.92,0.03582,0.2976
0.06664,86.43,26.98,0.256,0.3035
0.1108,114.1,18.34,0.3219,0.2827
0.1105,81.93,19.67,0.2302,0.2787
0.1407,101.4,25.5,0.366,0.2744
0.04589,71.79,23.17,0.02085,0.3196
0.02579,69.92,28.94,0.01235,0.2349
0.0931,81.41,21.57,0.2939,0.302
0.07485,83.69,32.04,0.1927,0.2965
0.04044,74.35,20.29,0.0458,0.2383
0.03612,88.87,20.96,0.03469,0.2165
0.2475,125.4,27.57,0.9019,0.2866
0.0737,89.61,22.91,0.2403,0.2556
0.2173,146,25.07,0.5308,0.3032
0.1708,145.3,30.93,0.3912,0.3007
0.07971,102.3,20.54,0.122,0.2525
0.1827,113.9,30.8,0.4069,0.3179
0.06384,95.14,24.38,0.07127,0.3313
0.07453,101.2,21.58,0.1117,0.2725
0.0589,100.9,28.01,0.04753,0.2513
0.08216,96.53,19.31,0.0626,0.2136
0.1555,90.14,26.87,0.4779,0.254
0.1739,132.8,35.46,0.5036,0.25
0.03312,97.9,17.5,0.03517,0.1859
0.02222,69.35,23.31,0.03986,0.2699
0.1535,133.3,22.02,0.429,0.2842
0.1202,84.48,30.36,0.1609,0.2599
0.197,145.4,38.54,0.6399,0.2972
0.08308,105.9,22.74,0.206,0.36
0.09594,108.1,28.39,0.3779,0.2471
0.228,168.2,32.07,0.4399,0.2268
0.0875,83.51,28.18,0.3218,0.2305
0.1466,139.8,30.96,0.3977,0.2293
0.07116,85.07,37.88,0.1811,0.2447
0.1069,103.1,16.93,0.1373,0.2606
0.09851,91.62,22.15,0.1887,0.327
0.07763,96.69,41.61,0.07003,0.2196
0.06835,86.04,38.81,0.2923,0.2884
0.06005,91.29,34.23,0.139,0.2444
0.05921,91.06,31.88,0.04462,0.2306
0.04866,68.03,36.92,0.0719,0.2321
0.1555,152.1,34.49,0.2639,0.301
0.2625,251.2,31.37,0.6833,0.2641
0.05563,100.4,31.98,0.1472,0.2345
0.08288,82.68,24.02,0.186,0.321
0.1045,95.1,23.89,0.1876,0.2235
0.1357,115,25.5,0.6556,0.2845
0.1181,100.9,25.46,0.4504,0.2563
0.025,71.11,24.62,0.06409,0.3057
0.1996,143.6,28.87,0.5165,0.2301
0.1416,88.14,25.4,0.3186,0.266
0.0656,70.88,25.62,0.1277,0.3174
0.05547,87.24,33.33,0.05524,0.2404
0.1147,112,18.22,0.3151,0.2688
0,85.08,38.05,0,0.2409
0.07966,80.78,19.35,0.3365,0.2581
0.09783,93.22,19.35,0.3476,0.3006
0.1339,112.1,27.26,0.2512,0.2534
0.06222,101.2,21.8,0.1384,0.2679
0.07431,82.04,21.9,0.2596,0.2941
0.1775,122.1,23.05,0.5897,0.3318
0.0569,88.83,27.87,0.162,0.2406
0.0815,104.4,26.42,0.1673,0.2356
0.1335,94.94,18.32,0.1848,0.3227
0.09077,95.78,23.53,0.1742,0.2518
0.1452,112.5,14.2,0.4004,0.2557
0.1342,97.82,21.03,0.4896,0.3231
0.07828,106,25.44,0.2437,0.2455
0.206,153.9,30.39,0.5936,0.3266
0.09815,86.57,21.59,0.149,0.2804
0.08737,127.3,26.56,0.2477,0.4677
0.06335,92.74,31.99,0.123,0.31
0.08341,127.1,18.42,0.1048,0.1783
0.1489,143.4,26.06,0.2544,0.3251
0.0268,83.24,16.36,0.01674,0.228
0.04195,95.29,28.46,0.07698,0.2687
0.1017,103.9,28.48,0.17,0.2369
0.1407,95.29,22.15,0.3582,0.323
0.1053,92.82,24.34,0.2028,0.3035
0.1663,146.4,22.88,0.3533,0.251
0.2113,163.2,30.76,0.5179,0.248
0.1018,109.7,20.43,0.1856,0.2177
0.1521,106,32.94,0.3381,0.3651
0.08411,86.67,21.4,0.1889,0.3155
0.2264,211.5,23.87,0.3794,0.2908
0.1025,69.05,16.38,0.2099,0.3038
0.1075,69.47,18.04,0.2913,0.2848
0.08088,85.13,24.17,0.3535,0.2709
0.09514,76.08,20.74,0.1256,0.278
0.1357,109.8,17.76,0.1947,0.23
0.2163,117.7,36.33,0.5911,0.3013
0.1056,81.25,17.6,0.269,0.2604
0.07955,101.7,17.58,0.1101,0.2334
0.2051,113.3,29.66,0.5106,0.3585
0.09186,108.5,17.24,0.2492,0.2626
0.112,113.8,28.06,0.2866,0.2282
0.08542,79.15,23.03,0.1624,0.306
0.151,142.2,26.2,0.3759,0.3074
0.1613,160.5,25.23,0.4185,0.2549
0.1096,99.31,24.37,0.1246,0.2582
0.08045,93.63,21.74,0.1423,0.3071
0.07262,67.84,17.84,0.09996,0.3681
0.2475,205.7,26.93,0.4658,0.3157
0.02832,76.38,26.43,0.02533,0.2557
0.1284,99.43,25.63,0.1935,0.2849
0.06528,74.32,22.99,0.08434,0.2502
0.08512,63.3,18.45,0.1754,0.2983
0.1427,101.9,25.16,0.2654,0.3518
0.107,87.22,19.27,0.1791,0.311
0.1015,94.52,15.38,0.1559,0.216
0.07393,86.92,15.77,0.1622,0.2781
0.101,88.52,27.98,0.1366,0.2478
0.0812,87,28.81,0.2758,0.3206
0.08704,101.6,20.2,0.1206,0.2806
0.1613,152,27.15,0.3092,0.322
0.09861,76.43,26.51,0.2123,0.2289
0.2148,160.2,25.48,0.4433,0.3077
0.1362,104.3,34.27,0.4234,0.2698
0.1308,86.12,32.19,0.1395,0.2803
0,57.17,30.92,0,0.3058
0.05,54.49,31.89,0.3393,0.279
0.06918,78.78,19.68,0.1797,0.2329
0.1205,113.5,31.73,0.404,0.3187
0.1095,107.4,32.29,0.1611,0.2722
0.07958,92.48,37.17,0.1062,0.2473
0.06845,99.17,24.75,0.1377,0.2249
0.07174,97.58,29.09,0.1049,0.2642
0.02381,71.12,21.77,0.04384,0.2681
0.08333,71.08,22.04,0.1783,0.2691
0.03846,69.1,25.59,0.0935,0.2552
0.03264,83.9,31.45,0.06194,0.3059
0,74.08,24.77,0,0.2458
0.06413,77.8,28.26,0.1564,0.3169
0.06498,88.1,36,0.08653,0.2407
0.02564,62.86,25.05,0.07993,0.2435
0.06493,88.84,35.74,0.2439,0.2372
0.09127,69.57,34.91,0.2,0.2226
0.02232,67.88,22.88,0.01005,0.2262
0,66.5,34.24,0,0.2475
0.1105,105.9,27.27,0.3662,0.2258
0.09653,82.28,37.16,0.363,0.2112
0.1048,100.2,33.17,0.1326,0.225
0,75.19,38.3,0,0.1566
0.2356,128.7,42.79,1.17,0.4089
0.2542,179.1,29.41,0.6599,0.2929
0.2216,166.1,26.4,0.4107,0.206
0.1628,155,38.25,0.3215,0.2572
0.1418,126.7,34.12,0.3403,0.2218
0.265,184.6,39.42,0.9387,0.4087
0,59.16,30.37,0,0.2871
